reaction_id,true_ec,true_class,BEC-Pred_correct,CLAIRE_correct,SelenzymeRF_correct,SIMMER_correct,Theia_correct,BridgIT_correct,E-zyme1_correct,E-zyme2_correct,MajorityVote_correct,MajorityVoteCore4_correct,n_methods_correct
R05781,3.5.2.16,3,True,True,True,True,False,True,True,True,True,True,9
R01393,4.1.1.40,4,True,True,True,True,True,False,True,True,True,True,9
R08056,4.2.1.40,4,True,True,True,True,True,False,True,True,True,True,9
R11306,2.4.1.245,2,True,False,True,True,True,True,True,True,True,True,9
R10833,2.4.1.322,2,True,False,True,True,True,True,True,True,True,True,9
R08235,1.17.3.2,1,True,True,True,False,True,True,True,True,True,True,9
R02585,3.1.3.48,3,True,True,True,False,True,True,True,True,True,True,9
R00346,4.1.1.38,4,True,False,True,True,True,True,True,True,True,True,9
R04985,4.1.1.98,4,True,True,True,True,True,False,True,True,True,True,9
R03111,2.1.1.110,2,True,True,True,True,True,True,True,False,True,True,9
R04913,2.6.1.-,2,True,True,True,True,True,False,True,True,True,True,9
R02398,4.1.1.42,4,True,True,True,False,True,True,True,True,True,True,9
R06802,2.4.1.-,2,True,True,True,True,False,True,True,True,True,True,9
R05163,2.3.1.153,2,True,True,True,True,True,True,True,False,True,True,9
R10401,3.1.1.94,3,True,True,True,True,True,True,True,False,True,True,9
R07108,3.3.2.10,3,True,True,True,True,True,False,True,True,True,True,9
R04135,4.1.1.16,4,True,True,False,True,True,True,True,True,True,True,9
R10424,2.4.1.301,2,True,True,True,True,False,True,True,True,True,True,9
R03633,2.1.1.38,2,True,True,True,True,True,True,True,False,True,True,9
R09329,1.1.1.-,1,True,True,True,True,True,True,True,False,True,True,9
R06796,2.3.1.115,2,True,True,True,True,True,True,True,False,True,True,9
R05164,2.4.1.208,2,True,True,True,True,True,False,True,True,True,True,9
R00373,2.6.1.35,2,True,True,True,True,True,True,True,False,True,True,9
R07684,1.13.11.-,1,True,True,True,True,True,True,True,False,True,True,9
R04451,2.4.1.39,2,True,False,True,True,True,True,True,True,True,True,9
R04707,2.1.1.119,2,True,True,True,True,True,True,True,False,True,True,9
R00697,4.3.1.24|4.3.1.25,4,True,True,False,True,True,True,True,True,True,True,9
R11469,2.1.1.-,2,True,True,True,True,True,True,True,False,True,True,9
R04436,2.1.1.44,2,True,True,True,True,True,True,True,False,True,True,9
R09612,2.1.1.169|2.1.1.175,2,True,True,True,True,True,True,True,False,True,True,9
R09352,2.4.1.-,2,True,False,True,True,True,True,True,True,True,True,9
R03256,3.2.1.85,3,True,True,True,True,True,True,False,True,True,True,9
R04548,2.4.1.37,2,True,True,True,True,False,True,True,True,True,True,9
R07919,2.1.1.159|2.1.1.160,2,True,True,True,True,True,True,True,False,True,True,9
R11224,2.4.1.335,2,True,True,True,True,True,True,True,False,True,True,9
R08075,2.4.1.-,2,True,False,True,True,True,True,True,True,True,True,9
R09634,2.4.1.250,2,True,False,True,True,True,True,True,True,True,True,9
R10427,2.4.1.301,2,True,True,True,True,False,True,True,True,True,True,9
R02908,1.4.3.4,1,True,True,True,True,True,True,False,True,True,True,9
R12515,3.1.1.113,3,True,True,False,True,True,True,True,True,True,True,9
R09665,2.4.1.268,2,True,True,True,False,True,True,True,True,True,True,9
R02992,3.1.1.27,3,True,True,True,False,True,True,True,True,True,True,9
R11586,2.3.1.262,2,True,True,True,True,True,True,True,False,True,True,9
R09191,2.1.1.335,2,True,True,True,True,True,True,True,False,True,True,9
R04951,3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-,3,True,True,True,True,True,True,False,True,True,True,9
R10472,2.1.1.283,2,True,True,True,True,True,True,True,False,True,True,9
R10964,2.1.1.304,2,True,True,True,True,True,True,True,False,True,True,9
R09730,2.5.1.89,2,True,True,True,True,False,True,True,True,True,True,9
R08115,1.13.11.1,1,True,True,True,True,True,False,True,True,True,True,9
R08197,2.6.1.84,2,True,True,True,False,True,True,True,True,True,True,9
R04781,4.2.1.80,4,True,True,True,True,True,False,True,True,True,True,9
R10296,2.4.1.300,2,True,True,True,True,True,False,True,True,True,True,9
R08960,1.1.1.213,1,True,True,True,True,True,True,True,False,True,True,9
R00371,2.3.1.29,2,True,True,True,True,True,True,True,False,True,True,9
R07944,2.3.1.153,2,True,True,True,True,True,True,True,False,True,True,9
R00325,4.1.3.22,4,True,True,True,True,False,True,True,True,True,True,9
R07527,2.1.1.210,2,True,True,True,True,True,True,True,False,True,True,9
R03693,4.2.1.34,4,True,True,True,True,True,False,True,True,True,True,9
R12157,2.1.1.349,2,True,True,True,True,True,True,True,False,True,True,9
R04020,4.2.1.84,4,True,True,True,False,True,True,True,True,True,True,9
